iter	RMSE
986	139.6731024
987	139.6559237
988	139.6210634
989	139.5958525
990	139.5621712
991	139.5281832
992	139.4856246
993	139.4602756
994	139.1869704
995	139.1748269
996	139.1638203
997	139.1376754
998	139.0922529
999	139.0789005
